Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.009999	2.759000	6.721000	9.952000	2.665000	6.455000	12.422000	
1.000000	0.009998	2.637000	9.066000	14.382000	2.552000	15.738000	21.756000	
2.000000	0.009995	2.515000	14.426000	21.449000	2.434000	15.972000	23.734000	
3.000000	0.009990	2.410000	17.793000	25.835000	2.327000	20.794000	29.702000	
4.000000	0.009985	2.361000	19.725000	28.169000	2.274000	23.318000	31.888000	
5.000000	0.009978	2.325000	21.707000	30.247000	2.232000	27.677000	35.566000	
6.000000	0.009970	2.292000	22.246000	31.010000	2.226000	28.480000	35.184000	
7.000000	0.009961	2.263000	24.156000	33.034000	2.198000	26.588000	35.878000	
8.000000	0.009951	2.238000	25.867000	34.686000	2.191000	28.169000	36.572000	
9.000000	0.009939	2.216000	26.528000	35.982000	2.216000	27.477000	36.121000	
10.000000	0.009926	2.191000	27.973000	38.086000	2.154000	30.254000	39.244000	
11.000000	0.009912	2.182000	28.343000	38.494000	2.135000	31.954000	41.221000	
12.000000	0.009897	2.162000	29.414000	40.137000	2.075000	33.389000	43.026000	
13.000000	0.009881	2.150000	30.328000	41.104000	2.152000	29.465000	39.174000	
14.000000	0.009863	2.131000	31.075000	42.099000	2.097000	33.845000	43.754000	
15.000000	0.009844	2.118000	31.603000	42.338000	2.003000	37.133000	47.606000	
16.000000	0.009825	2.099000	32.698000	43.812000	2.007000	36.470000	46.218000	
17.000000	0.009803	2.085000	33.658000	44.673000	2.013000	36.658000	46.808000	
18.000000	0.009781	2.072000	34.606000	45.836000	1.981000	38.765000	48.786000	
19.000000	0.009758	2.057000	36.186000	47.488000	1.963000	39.717000	49.618000	
20.000000	0.009733	2.054000	36.332000	47.532000	1.951000	39.631000	50.312000	
21.000000	0.009707	2.045000	36.740000	47.781000	1.942000	41.165000	50.555000	
22.000000	0.009680	2.027000	37.562000	48.739000	1.954000	41.049000	51.249000	
23.000000	0.009652	2.025000	37.657000	48.793000	1.948000	40.784000	50.520000	
24.000000	0.009623	2.011000	38.824000	49.920000	1.928000	42.438000	52.602000	
25.000000	0.009593	2.001000	39.190000	50.408000	1.952000	40.667000	49.827000	
26.000000	0.009561	1.989000	39.882000	51.225000	1.886000	43.799000	54.025000	
27.000000	0.009529	1.987000	40.498000	51.802000	1.874000	44.000000	54.441000	
28.000000	0.009495	1.980000	40.407000	51.873000	1.886000	44.192000	53.886000	
29.000000	0.009460	1.964000	42.000000	53.134000	1.888000	45.166000	54.580000	
30.000000	0.009425	1.955000	42.939000	53.871000	1.889000	44.937000	54.545000	
31.000000	0.009388	1.956000	42.484000	53.551000	1.866000	45.223000	55.621000	
32.000000	0.009350	1.945000	43.027000	54.217000	1.875000	46.187000	55.309000	
33.000000	0.009311	1.940000	43.536000	54.847000	1.853000	46.206000	56.176000	
34.000000	0.009271	1.933000	44.213000	55.424000	1.887000	47.604000	55.621000	
35.000000	0.009229	1.922000	44.861000	56.214000	1.833000	48.033000	58.050000	
36.000000	0.009187	1.917000	45.500000	56.578000	1.852000	48.174000	57.217000	
37.000000	0.009144	1.911000	46.036000	57.058000	1.862000	46.505000	56.107000	
38.000000	0.009100	1.902000	46.197000	57.360000	1.824000	49.424000	58.258000	
39.000000	0.009055	1.891000	47.209000	58.017000	1.827000	47.390000	57.911000	
40.000000	0.009008	1.892000	46.110000	57.235000	1.842000	48.282000	57.668000	
41.000000	0.008961	1.867000	48.113000	59.091000	1.797000	51.372000	60.548000	
42.000000	0.008913	1.871000	47.994000	58.958000	1.784000	51.008000	60.444000	
43.000000	0.008864	1.865000	48.480000	59.473000	1.828000	49.081000	58.293000	
44.000000	0.008814	1.860000	49.262000	60.201000	1.839000	47.414000	56.454000	
45.000000	0.008763	1.858000	49.480000	60.236000	1.757000	52.935000	62.144000	
46.000000	0.008711	1.843000	49.837000	60.600000	1.818000	50.584000	58.813000	
47.000000	0.008658	1.841000	50.194000	60.982000	1.748000	51.859000	61.312000	
48.000000	0.008605	1.841000	50.526000	61.390000	1.755000	52.534000	61.832000	
49.000000	0.008550	1.835000	50.325000	61.266000	1.762000	53.143000	62.214000	
50.000000	0.008495	1.819000	52.548000	62.935000	1.788000	53.161000	61.242000	
51.000000	0.008439	1.809000	52.095000	62.766000	1.710000	55.114000	63.810000	
52.000000	0.008381	1.805000	52.605000	63.077000	1.770000	52.892000	61.277000	
53.000000	0.008323	1.808000	52.665000	63.219000	1.729000	55.497000	63.810000	
54.000000	0.008265	1.797000	53.559000	63.858000	1.728000	53.031000	63.220000	
55.000000	0.008205	1.801000	53.055000	63.290000	1.776000	54.458000	62.144000	
56.000000	0.008145	1.794000	53.668000	63.965000	1.740000	56.753000	64.018000	
57.000000	0.008084	1.783000	53.992000	64.311000	1.700000	57.344000	65.128000	
58.000000	0.008022	1.779000	54.662000	64.782000	1.767000	53.841000	61.901000	
59.000000	0.007960	1.776000	54.749000	64.995000	1.695000	57.220000	65.371000	
60.000000	0.007896	1.771000	55.323000	65.403000	1.720000	56.194000	64.504000	
61.000000	0.007832	1.767000	56.148000	66.158000	1.685000	58.691000	67.071000	
62.000000	0.007768	1.764000	55.761000	65.900000	1.709000	54.467000	63.740000	
63.000000	0.007702	1.751000	56.864000	66.948000	1.673000	59.738000	68.008000	
64.000000	0.007636	1.753000	56.370000	66.113000	1.694000	59.042000	66.100000	
65.000000	0.007570	1.738000	57.812000	67.516000	1.690000	57.643000	65.857000	
66.000000	0.007503	1.732000	57.866000	67.640000	1.695000	55.955000	64.920000	
67.000000	0.007435	1.737000	56.862000	66.903000	1.690000	58.884000	65.579000	
68.000000	0.007366	1.727000	58.177000	67.711000	1.654000	59.717000	67.731000	
69.000000	0.007297	1.736000	58.121000	67.711000	1.673000	58.890000	67.349000	
70.000000	0.007228	1.723000	58.810000	68.359000	1.707000	58.115000	64.885000	
71.000000	0.007158	1.722000	58.495000	68.182000	1.631000	59.164000	67.592000	
72.000000	0.007087	1.711000	59.305000	68.919000	1.691000	58.113000	65.788000	
73.000000	0.007016	1.713000	58.991000	68.572000	1.635000	61.465000	69.015000	
74.000000	0.006944	1.707000	60.101000	69.203000	1.676000	58.237000	66.273000	
75.000000	0.006872	1.699000	60.548000	69.824000	1.650000	59.786000	68.182000	
76.000000	0.006800	1.698000	59.835000	69.158000	1.644000	62.147000	68.910000	
77.000000	0.006727	1.701000	60.703000	69.638000	1.632000	61.841000	68.772000	
78.000000	0.006653	1.693000	59.856000	69.167000	1.649000	60.683000	68.217000	
79.000000	0.006580	1.694000	60.734000	69.798000	1.610000	61.468000	69.604000	
80.000000	0.006505	1.691000	60.841000	70.144000	1.652000	61.617000	68.390000	
81.000000	0.006431	1.682000	61.056000	70.197000	1.638000	62.518000	69.709000	
82.000000	0.006356	1.679000	61.553000	70.765000	1.619000	62.080000	69.813000	
83.000000	0.006281	1.680000	61.847000	70.703000	1.629000	62.552000	68.945000	
84.000000	0.006206	1.678000	61.794000	70.898000	1.618000	62.881000	69.500000	
85.000000	0.006130	1.671000	61.826000	70.552000	1.620000	63.927000	70.437000	
86.000000	0.006054	1.674000	61.995000	70.685000	1.628000	62.642000	69.153000	
87.000000	0.005978	1.666000	62.785000	71.360000	1.601000	62.979000	70.472000	
88.000000	0.005901	1.661000	63.387000	72.035000	1.645000	63.553000	69.917000	
89.000000	0.005824	1.672000	62.175000	70.978000	1.608000	63.097000	70.229000	
90.000000	0.005747	1.660000	62.838000	71.786000	1.598000	63.825000	70.992000	
91.000000	0.005670	1.658000	63.520000	71.857000	1.611000	62.383000	69.847000	
92.000000	0.005593	1.650000	63.956000	72.550000	1.593000	64.000000	71.027000	
93.000000	0.005516	1.646000	63.421000	72.230000	1.587000	64.921000	71.582000	
94.000000	0.005438	1.651000	63.382000	72.061000	1.583000	64.794000	71.305000	
95.000000	0.005361	1.648000	64.689000	72.949000	1.595000	63.392000	70.819000	
96.000000	0.005283	1.642000	64.436000	72.834000	1.599000	66.048000	71.617000	
97.000000	0.005205	1.633000	64.707000	73.029000	1.591000	64.365000	71.027000	
98.000000	0.005128	1.641000	64.544000	72.816000	1.579000	65.011000	71.895000	
99.000000	0.005050	1.635000	64.798000	73.127000	1.600000	64.231000	70.854000	
100.000000	0.004972	1.635000	65.206000	73.358000	1.585000	65.107000	71.686000	
101.000000	0.004895	1.628000	65.276000	73.615000	1.590000	62.414000	69.917000	
102.000000	0.004817	1.629000	65.862000	73.846000	1.586000	65.283000	71.617000	
103.000000	0.004739	1.627000	65.389000	73.606000	1.602000	63.848000	71.096000	
104.000000	0.004662	1.623000	65.962000	73.855000	1.595000	63.677000	70.229000	
105.000000	0.004584	1.613000	66.170000	74.556000	1.585000	64.669000	71.478000	
106.000000	0.004507	1.621000	66.117000	74.148000	1.606000	64.139000	70.576000	
107.000000	0.004430	1.616000	66.461000	74.334000	1.569000	66.103000	72.623000	
108.000000	0.004353	1.609000	66.830000	74.760000	1.584000	63.668000	70.749000	
109.000000	0.004276	1.612000	66.786000	74.814000	1.560000	66.748000	72.866000	
110.000000	0.004199	1.615000	66.294000	74.165000	1.587000	65.962000	71.513000	
111.000000	0.004122	1.609000	66.551000	74.707000	1.565000	65.422000	72.693000	
112.000000	0.004046	1.606000	67.767000	75.444000	1.561000	67.099000	72.901000	
113.000000	0.003970	1.607000	67.456000	74.964000	1.566000	67.112000	73.109000	
114.000000	0.003894	1.601000	67.882000	75.284000	1.577000	65.204000	71.652000	
115.000000	0.003819	1.601000	67.324000	75.115000	1.557000	66.349000	73.213000	
116.000000	0.003744	1.594000	67.986000	75.346000	1.573000	65.520000	71.964000	
117.000000	0.003669	1.593000	68.101000	75.630000	1.589000	65.869000	71.825000	
118.000000	0.003595	1.594000	68.416000	75.897000	1.567000	67.095000	72.866000	
119.000000	0.003520	1.594000	67.950000	75.417000	1.565000	65.946000	72.172000	
120.000000	0.003447	1.591000	67.937000	75.577000	1.570000	68.456000	73.421000	
121.000000	0.003373	1.582000	69.241000	76.483000	1.562000	67.064000	72.935000	
122.000000	0.003300	1.584000	68.508000	76.127000	1.563000	66.796000	72.797000	
123.000000	0.003228	1.592000	68.920000	76.181000	1.549000	65.614000	72.623000	
124.000000	0.003156	1.590000	68.594000	75.959000	1.560000	67.139000	73.109000	
125.000000	0.003084	1.581000	69.431000	76.500000	1.590000	64.203000	71.062000	
126.000000	0.003013	1.571000	69.365000	76.838000	1.577000	67.628000	72.935000	
127.000000	0.002942	1.576000	70.027000	77.202000	1.557000	66.994000	72.415000	
128.000000	0.002872	1.578000	69.842000	76.829000	1.547000	68.919000	74.393000	
129.000000	0.002803	1.580000	69.060000	76.243000	1.558000	67.687000	72.901000	
130.000000	0.002734	1.572000	69.826000	76.971000	1.555000	67.422000	73.178000	
131.000000	0.002665	1.574000	69.738000	76.705000	1.549000	67.261000	73.144000	
132.000000	0.002597	1.564000	70.438000	77.450000	1.553000	69.054000	74.323000	
133.000000	0.002530	1.560000	70.522000	77.486000	1.549000	67.356000	73.178000	
134.000000	0.002464	1.565000	70.039000	77.370000	1.554000	66.691000	72.797000	
135.000000	0.002398	1.566000	70.051000	77.184000	1.556000	68.768000	74.115000	
136.000000	0.002332	1.563000	70.652000	77.397000	1.559000	68.215000	73.595000	
137.000000	0.002268	1.558000	71.029000	77.797000	1.540000	68.654000	73.872000	
138.000000	0.002204	1.561000	70.755000	77.592000	1.546000	68.056000	73.595000	
139.000000	0.002140	1.552000	71.124000	77.965000	1.544000	68.782000	74.497000	
140.000000	0.002078	1.556000	71.059000	77.805000	1.547000	68.952000	73.976000	
141.000000	0.002016	1.557000	71.144000	77.770000	1.546000	67.316000	73.387000	
